Address     Type            i860  asc%  nul%  m68k   x86  ent
----------  --------------  ----  ----  ----  ----  ----  ---
0002D000    NULL_PAD         256    0%  100%     0     0  0.0
0002D400    NULL_PAD         256    0%  100%     0     0  0.0
0002D800    NULL_PAD         256    0%  100%     0     0  0.0
0002DC00    MACHO_*          250   22%   68%     0     1  2.5
0002E000    I860_CODE        248   30%   61%     0     0  2.8
0002E400    I860_CODE        251   18%   75%    10     1  2.1
0002E800    NULL_PAD         256    0%  100%     0     0  0.0
0002EC00    NULL_PAD         256    0%  100%     0     0  0.0
0002F000    I860_CODE        237   13%   47%     0    72  4.2
0002F400    I860_CODE        221   23%    5%     1    99  5.9
0002F800    I860_CODE        225   29%    8%     0   164  5.8
0002FC00    I860_CODE        225   29%   11%     0   152  5.8
00030000    ASCII_TEXT       181  100%    0%     0     0  5.0
00030400    ASCII_TEXT       197  100%    0%     0     0  5.0
00030800    ASCII_TEXT       188  100%    0%     0     0  4.9
00030C00    ASCII_TEXT       182  100%    0%     1     0  5.0
